Adalclever Lopes;12193
Agostinho Patrus Filho;15245
Alencar da Silveira Jr.;7752
André Quintão;12195
Anselmo José Domingos;18845
Antônio Carlos Arantes;7327
Antônio Jorge;22617
Antônio Lerin;18846
Arlen Santiago;9652
Arlete Magalhães;11165
Arnaldo Silva;22514
Bonifácio Mourão;3667
Bosco;18857
Braulio Braz;15246
Cabo Júlio;9371
Carlos Henrique;10002
Carlos Pimenta;7758
Celinho do Sinttrocel;18849
Celise Laviola;2267
Cristiano Silveira;22523
Cristina Corrêa;22892
Cássio Soares;18848
Dalmo Ribeiro Silva;9655
Deiró Marra;15251
Dilzon Melo;5898
Dirceu Ribeiro;22513
Douglas Melo;22531
Doutor Jean Freire;22581
Doutor Wilson Batista;18850
Duarte Bechir;17919
Durval Ângelo;4018
Elismar Prado;18852
Emidinho Madeira;22560
Fabiano Tolentino;18853
Felipe Attiê;22601
Fred Costa;9886
Fábio Avelar Oliveira;22516
Fábio Cherem;18854
Geisa Teixeira;22848
Geraldo Pimenta;23379
Gil Pereira;7762
Gilberto Abramo;12201
Glaycon Franco;20231
Gustavo Corrêa;13981
Gustavo Valadares;12202
Hely Tarqüínio;5905
Inácio Franco;15265
Ione Pinheiro;8095
Iran Barbosa;12992
Isauro Calais;22597
Ivair Nogueira;7763
João Alberto;15274
João Leite;7766
João Magalhães;22561
João Vítor Xavier;18858
Lafayette de Andrada;15254
Leandro Genaro;10434
Leonídio Bouças;7769
Luiz Humberto Carneiro;12210
Léo Portela;16019
Marília Campos;12213
Missionário Marcio Santiago;22512
Mário Henrique Caixa;21125
Neilando Pimenta;18863
Noraldino Júnior;22521
Nozinho;22524
Paulo Guedes;15258
Paulo Lamac;18864
Pinduca Ferreira;10969
Professor Neivaldo;23314
Ricardo Faria;22577
Roberto Andrade;22607
Rogério Correia;9671
Rosângela Reis;15260
Sargento Rodrigues;9673
Sávio Souza Cruz;1832
Tadeu Martins Leite;18860
Thiago Cota;22515
Tiago Ulisses;11237
Tito Torres;22616
Tony Carlos;9695
Ulysses Gomes;18867
Vanderlei Miranda;15257
Wander Borges;15263